time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
2.099999999999996834e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.742221019633836659e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.015903386186273849e+01,3.842367550776941254e+00,5.269127718015157447e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.922092756049790019e+00,-1.972450642470733317e+00
2.149999999999998267e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.908438833897327075e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.663962023907807719e+01,4.470881521771894462e+00,6.489161525976947509e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.062994941014096639e+00,-2.020048663370741515e+00
2.199999999999997964e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.111591083126773377e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.478190484960691720e+01,4.790210853601243102e+00,7.689394680900136780e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.203968565990763295e+00,-2.067434603824688466e+00
2.249999999999997662e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.357544658838634344e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.367937754278418083e+01,4.899086846001538653e+00,8.474682048569616155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.344960930020605794e+00,-2.114785124761123125e+00
2.299999999999997359e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.646761530753178160e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.178831198550131631e+01,4.874415662394619098e+00,8.904589564530541734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.486038213091075200e+00,-2.162013424707033504e+00
2.349999999999997057e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.971785110263558100e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.790524690712597078e+01,4.796567312244455650e+00,9.020866368742181951e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.627035824694421429e+00,-2.209120514645334321e+00
2.399999999999996754e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.322534740362449418e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.200852859717264209e+01,4.680000985207044550e+00,8.622463175811647673e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.768032964395940709e+00,-2.256368180954522185e+00
2.449999999999996451e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.686217682488802633e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.316388219258840309e+01,4.279690872703212356e+00,5.589994601708000443e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.909029897739512371e+00,-2.303567216308259002e+00
2.499999999999996149e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.052740353687376118e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.320436309710923695e+01,3.990490677013430076e+00,3.187816847358507788e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.050026806397810653e+00,-2.350932631776738280e+00
2.574999999999996129e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.580139004188702290e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.668343618279300244e+01,3.354458559243346905e+00,-1.011132390645323870e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.261522456458703090e+00,-2.421997819507851535e+00
