time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
1.857750000000012447e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.896713602926962006e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.174725525151397392e+02,4.269808590447889074e+00,-3.071779528681753391e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000076358333e+02,-9.399920604385044953e+01
1.858250000000011837e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.918256008331055362e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.135895038934094146e+02,-6.571583288900034070e+00,-2.310045896435789103e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000108429958e+02,-9.399962113933037244e+01
1.858750000000012892e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.938885024075870822e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.962247561441416224e+02,-7.910425434806620082e+00,-2.295986505149960877e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000129543878e+02,-9.399991951006063573e+01
1.859250000000012837e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.956549542042785417e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.894974997105464922e+02,1.267094788120492055e+01,-3.748343788060574866e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000114918635e+02,-9.400033016890141369e+01
1.859750000000012782e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.965972050868087129e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.119722553323312866e+02,9.774628121654473034e+00,-4.063465926965615438e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000090815320e+02,-9.400052913202624438e+01
1.860250000000012727e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.965692240345934483e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.186222476066616309e+02,4.239844141689514068e+00,-3.579251377162520242e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999949613425e+02,-9.400053719412728981e+01
1.860750000000012672e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.954573623505947877e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.116276646118521967e+02,-8.873868458350347987e-01,-2.942230153553704142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999968816837e+02,-9.400013157342486636e+01
1.861250000000012617e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.934693499389292803e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.694546688605146301e+02,-4.423493026990210630e+00,-2.462958421322215585e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999983372732e+02,-9.400060374499156524e+01
1.861750000000012562e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.912293816273086255e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.261915201297049407e+02,-9.252557118157840321e+00,-2.017437935573648744e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999991312620e+02,-9.399944065827709494e+01
1.862250000000012506e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.892103250550186244e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.710172030751437546e+02,-1.053459561019381319e+01,-1.840107206640163540e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999985536192e+02,-9.400008717034249628e+01
1.862750000000012451e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.877166410011166686e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.092161114433647526e+02,-1.119104264785432434e+01,-1.775585677187652323e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999975988203e+02,-9.399991126294106891e+01
1.863250000000011841e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.872175709276365119e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080875946633847562e+01,-1.832009103185886190e+01,-1.283504587147209719e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999899277441e+02,-9.399927942267213155e+01
1.863750000000012619e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.877375448771641642e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.845407061396452946e+02,-1.403134921944774760e+01,-1.656118143061624082e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000083787768e+02,-9.399976937872567362e+01
1.864312500000012973e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.893359113331817056e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.555351410781181585e+02,-1.064671985038662960e+01,-1.999875456098802928e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000061407377e+02,-9.399971914285580965e+01
1.864812500000012918e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.913831991045259695e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.421757847217713220e+02,-1.060507040133197076e+00,-2.854349208519586512e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000020074822e+02,-9.399976904769319219e+01
1.865250000000012731e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.932541340281038744e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.129194871074538469e+02,-4.920275907326763232e+00,-2.610812088927035290e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999832239155e+02,-9.399956435277111666e+01
1.865781250000012048e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.952285825893848026e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.029369944031479918e+02,-5.298830672914081497e+00,-2.610496254038625352e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000070884312e+02,-9.400071412165098650e+01
