time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
1.822539062500002638e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.879502260630715682e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.058677744992786529e+02,-1.812249489459702101e+00,-2.219762082519529400e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999989763637e+02,-9.399947213273260616e+01
1.823039062500002583e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.873321774567257680e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.003957863493204172e+01,4.047604519399717327e-01,-2.298251971111260517e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999982272243e+02,-9.399971559380988140e+01
1.823539062500002528e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.875702432697575084e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.406601735294664763e+02,-9.755762750048900145e+00,-2.044512770773472354e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999960556920e+02,-9.399963540391881622e+01
1.824039062500002473e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.887880205385789045e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.161807673982550568e+02,-3.610501978549844004e+00,-2.254816015132119844e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000006198206e+02,-9.399976212798623010e+01
1.824664062500002404e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.911741074404671670e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.462086652945624792e+02,4.186128044816356919e+00,-2.565637405966469586e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999984548822e+02,-9.399952269019159701e+01
1.825164062500002349e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.932719435643202699e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.759590398999911827e+02,1.608244683500211636e+01,-2.925427634920287190e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999985598720e+02,-9.400039368007573160e+01
1.825664062500002294e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.949967402088209623e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.107957319704953534e+02,1.656872466274318967e+01,-2.961327495487863715e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999983047019e+02,-9.400006206410402854e+01
1.826164062500002239e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.963062544395893116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.046405757826865681e+02,1.986763141651548281e+01,-3.407832016852521662e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999989283879e+02,-9.400034366614147530e+01
1.826664062500002184e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.967665314371445096e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.247764809927912921e+01,1.841256580344094829e+01,-3.396346852800019889e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999982634336e+02,-9.400092663304221219e+01
1.827164062500002129e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.959404074757016279e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.822088021636253643e+02,3.247532700642921544e+00,-2.695436940568931306e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999974517095e+02,-9.400064055420004649e+01
1.827539062500001810e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.946911363275129592e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.920019088105428864e+02,-9.727214124859594538e-03,-2.460425275284061541e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999944183173e+02,-9.399995008384901496e+01
1.828070312500001404e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.923877649364969411e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.534492069010588580e+02,-3.384280125991138699e-01,-2.342136496744922169e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000103466391e+02,-9.399997165559585710e+01
1.828632812500002314e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.899209023421279507e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.027162197436007887e+02,-3.564323880903953468e-01,-2.304640384360706662e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000068698682e+02,-9.399981747762244311e+01
