time torque_Nm angle_arcmin
9.301109057832048291e-03 2.976354898506255267e+03 3.823274969318216421e+00
9.401109057832044216e-03 3.008354898506254358e+03 3.849032975675702239e+00
9.501109057832040142e-03 3.040354898506252994e+03 3.874987583004369629e+00
9.601109057832036067e-03 3.072354898506251629e+03 3.901107711857682236e+00
9.701109057832031993e-03 3.104354898506249810e+03 3.927330922710971617e+00
9.801109057832027918e-03 3.136354898506248901e+03 3.953574393842029355e+00
9.901109057832023844e-03 3.168354898506247537e+03 3.979737481727926518e+00
1.000110905783201977e-02 3.199645101493753828e+03 4.005719249375252033e+00
1.010110905783201569e-02 3.167645101493755192e+03 4.026586478105190103e+00
1.020110905783201162e-02 3.135645101493756101e+03 4.035714087807898309e+00
1.030110905783200755e-02 3.103645101493757466e+03 4.034994826242144228e+00
1.040110905783200347e-02 3.071645101493758830e+03 4.026896898609602538e+00
1.050110905783199940e-02 3.039645101493760194e+03 4.013373642836456590e+00
1.060110905783199532e-02 3.007645101493761558e+03 3.995820179096993385e+00
1.070110905783199125e-02 2.975645101493762922e+03 3.975281391990800550e+00
1.080110905783198717e-02 2.943645101493764287e+03 3.952555093370823780e+00
1.090110905783198310e-02 2.911645101493765651e+03 3.928356086526870072e+00
1.100110905783197902e-02 2.879645101493766560e+03 3.903141170368002122e+00
1.110110905783197495e-02 2.847645101493767925e+03 3.877131999873089541e+00
1.120110905783197087e-02 2.815645101493769289e+03 3.850426174319465211e+00
1.130110905783196680e-02 2.783645101493770653e+03 3.823136472599916402e+00
1.140110905783196273e-02 2.751645101493772017e+03 3.795455981991242123e+00
1.150110905783195865e-02 2.719645101493773382e+03 3.767421958015868100e+00
1.160110905783195458e-02 2.687645101493774746e+03 3.739132258318452973e+00
1.170110905783195050e-02 2.655645101493776110e+03 3.710806102815093155e+00
1.180110905783194643e-02 2.623645101493777020e+03 3.682551447851239779e+00
1.190110905783194235e-02 2.591645101493778384e+03 3.654482701336928319e+00
1.200110905783193828e-02 2.559645101493779748e+03 3.626765411828909436e+00
1.210110905783193420e-02 2.527645101493781112e+03 3.599574323837620771e+00
1.220110905783193013e-02 2.495645101493782477e+03 3.572917800690314394e+00
1.230110905783192606e-02 2.463645101493783841e+03 3.546696842894931478e+00
1.240110905783192198e-02 2.431645101493785205e+03 3.520761320438239306e+00
1.250110905783191791e-02 2.399645101493786115e+03 3.494955158449620569e+00
1.260110905783191383e-02 2.367645101493787479e+03 3.469117620962869353e+00
1.270110905783190976e-02 2.335645101493788843e+03 3.443074274941508861e+00
1.280110905783190568e-02 2.303645101493790207e+03 3.416690568426901997e+00
1.290110905783190161e-02 2.271645101493791572e+03 3.389969944926991108e+00
1.300110905783189753e-02 2.239645101493792936e+03 3.363002719593068068e+00
1.310110905783189346e-02 2.207645101493794300e+03 3.335896894330007800e+00
1.320110905783188938e-02 2.175645101493795664e+03 3.308766523974410845e+00
1.330110905783188531e-02 2.143645101493796574e+03 3.281715547317793913e+00
1.340110905783188124e-02 2.111645101493797938e+03 3.254832627759908004e+00
1.350110905783187716e-02 2.079645101493799302e+03 3.228168149699045752e+00
1.360110905783187309e-02 2.047645101493800667e+03 3.201706339986037264e+00
1.370110905783186901e-02 2.015645101493802031e+03 3.175378700361997986e+00
1.380110905783186494e-02 1.983645101493803395e+03 3.149075000542449043e+00
1.390110905783186086e-02 1.951645101493804532e+03 3.122672354600924738e+00
1.400110905783185679e-02 1.919645101493805896e+03 3.096077344028026701e+00
1.410110905783185271e-02 1.887645101493807033e+03 3.069214264031478567e+00
1.420110905783184864e-02 1.855645101493808397e+03 3.040669053187479598e+00
1.430110905783184456e-02 1.823645101493809761e+03 3.011011197919103655e+00
1.440110905783184049e-02 1.791645101493811126e+03 2.981437736735891519e+00
1.450110905783183642e-02 1.759645101493812490e+03 2.952143722626414224e+00
1.460110905783183234e-02 1.727645101493813854e+03 2.923291438929605413e+00
1.470110905783182827e-02 1.695645101493814991e+03 2.894948369221169049e+00
1.480110905783182419e-02 1.663645101493816355e+03 2.867075832746858843e+00
1.490110905783182012e-02 1.631645101493817492e+03 2.839615169633966207e+00
1.500110905783181604e-02 1.599645101493818856e+03 2.812473734245017454e+00
1.510110905783181197e-02 1.567645101493820221e+03 2.785506885892591988e+00
1.520110905783180789e-02 1.535645101493821585e+03 2.758552683689554197e+00
1.530110905783180382e-02 1.503645101493822949e+03 2.731462775811286825e+00
1.540110905783179975e-02 1.471645101493824086e+03 2.704121523258375070e+00
1.550110905783179567e-02 1.439645101493825450e+03 2.676455049410740195e+00
1.560110905783179160e-02 1.407645101493826814e+03 2.648452983827964236e+00
1.570110905783178926e-02 1.375645101493827497e+03 2.620178528686468944e+00
1.580110905783178518e-02 1.343645101493828861e+03 2.591740055384161856e+00
1.590110905783178111e-02 1.311645101493830225e+03 2.563270644172319646e+00
1.600110905783177703e-02 1.279645101493831362e+03 2.534897694262905343e+00
1.610110905783177296e-02 1.247645101493832726e+03 2.506704550485721050e+00
1.620110905783176888e-02 1.215645101493834090e+03 2.478726399253682544e+00
1.630110905783176481e-02 1.183645101493835455e+03 2.450928071050986201e+00
1.640110905783176073e-02 1.151645101493836592e+03 2.423210583540938323e+00
1.650110905783175666e-02 1.119645101493837956e+03 2.395443372498643253e+00
1.660110905783175259e-02 1.087645101493839320e+03 2.367488264487910055e+00
1.670110905783174851e-02 1.055645101493840684e+03 2.339217289821873713e+00
1.680110905783174444e-02 1.023645101493841707e+03 2.310543061850462543e+00
1.690110905783174036e-02 9.916451014938431854e+02 2.281441011641621941e+00
1.700110905783173629e-02 9.596451014938445496e+02 2.251953378002186312e+00
1.710110905783173221e-02 9.276451014938459139e+02 2.222183655851994288e+00
1.720110905783172814e-02 8.956451014938469370e+02 2.192263825111771425e+00
1.730110905783172406e-02 8.636451014938483013e+02 2.162331864059561237e+00
