time torque_Nm angle_arcmin
7.701308016886087605e-03 2.464418565403547746e+03 1.794986412236599049e+00
7.801308016886083531e-03 2.496418565403546836e+03 1.822515225574273590e+00
7.901308016886080324e-03 2.528418565403545927e+03 1.849976422266228937e+00
8.001308016886076249e-03 2.560418565403544562e+03 1.877342013264618581e+00
8.101308016886072175e-03 2.592418565403543198e+03 1.904580562483932482e+00
8.201308016886068100e-03 2.624418565403541379e+03 1.931689970585408700e+00
8.301308016886064026e-03 2.656418565403540470e+03 1.958673187012746730e+00
8.401308016886059951e-03 2.688418565403539105e+03 1.985541429853844519e+00
8.501308016886055877e-03 2.720418565403537741e+03 2.012327946092665076e+00
8.601308016886051802e-03 2.752418565403536377e+03 2.039072468850403830e+00
8.701308016886047728e-03 2.784418565403535467e+03 2.065817627355911235e+00
8.801308016886043653e-03 2.816418565403534103e+03 2.092593084064787057e+00
8.901308016886039579e-03 2.848418565403532739e+03 2.119409505826637563e+00
9.001308016886035504e-03 2.880418565403531375e+03 2.146269313047116878e+00
9.101308016886031430e-03 2.912418565403530010e+03 2.173158580170872156e+00
9.201308016886027355e-03 2.944418565403528646e+03 2.200045909684660739e+00
9.301308016886023280e-03 2.976418565403527282e+03 2.226887236003711745e+00
9.401308016886019206e-03 3.008418565403525918e+03 2.253595322725126415e+00
9.501308016886015131e-03 3.040418565403525008e+03 2.280082106267288022e+00
9.601308016886011057e-03 3.072418565403523644e+03 2.306341727023620614e+00
9.701308016886006982e-03 3.104418565403522280e+03 2.332402518428814631e+00
9.801308016886002908e-03 3.136418565403520915e+03 2.358296390035120815e+00
9.901308016885998833e-03 3.168418565403519551e+03 2.384070265093940932e+00
1.000130801688599476e-02 3.199581434596481813e+03 2.409783600400899228e+00
1.010130801688599068e-02 3.167581434596483177e+03 2.430622122921938910e+00
1.020130801688598661e-02 3.135581434596484542e+03 2.440023776318446913e+00
1.030130801688598254e-02 3.103581434596485451e+03 2.439881736831162939e+00
1.040130801688597846e-02 3.071581434596486815e+03 2.432578110616400391e+00
1.050130801688597439e-02 3.039581434596488180e+03 2.419947104164964724e+00
1.060130801688597031e-02 3.007581434596489544e+03 2.403247923821248300e+00
1.070130801688596624e-02 2.975581434596490908e+03 2.383415147443152193e+00
1.080130801688596216e-02 2.943581434596492272e+03 2.361280058907762935e+00
1.090130801688595809e-02 2.911581434596493636e+03 2.337419969769167327e+00
1.100130801688595401e-02 2.879581434596495001e+03 2.312215072636795377e+00
1.110130801688594994e-02 2.847581434596495910e+03 2.285950004327732543e+00
1.120130801688594586e-02 2.815581434596497274e+03 2.258857743338314794e+00
1.130130801688594179e-02 2.783581434596498639e+03 2.231222377183021965e+00
1.140130801688593772e-02 2.751581434596500003e+03 2.203339417133182376e+00
1.150130801688593364e-02 2.719581434596501367e+03 2.175314461049278947e+00
1.160130801688592957e-02 2.687581434596502731e+03 2.147343515614189791e+00
1.170130801688592549e-02 2.655581434596504096e+03 2.119495764601229126e+00
1.180130801688592142e-02 2.623581434596505460e+03 2.091698227979409186e+00
1.190130801688591734e-02 2.591581434596506824e+03 2.063846299390402983e+00
1.200130801688591327e-02 2.559581434596507734e+03 2.035969337773960497e+00
1.210130801688590919e-02 2.527581434596509098e+03 2.008007549136313852e+00
1.220130801688590512e-02 2.495581434596510462e+03 1.979935599601021057e+00
1.230130801688590104e-02 2.463581434596511826e+03 1.951931387303667886e+00
1.240130801688589697e-02 2.431581434596513191e+03 1.924039339050511721e+00
1.250130801688589290e-02 2.399581434596514555e+03 1.896197550827401823e+00
1.260130801688588882e-02 2.367581434596515919e+03 1.868395851182787393e+00
1.270130801688588475e-02 2.335581434596517283e+03 1.840613686143850014e+00
1.280130801688588067e-02 2.303581434596518193e+03 1.812840691586913078e+00
1.290130801688587660e-02 2.271581434596519557e+03 1.785097343045064511e+00
1.300130801688587252e-02 2.239581434596520467e+03 1.757424759216376975e+00
1.310130801688586845e-02 2.207581434596521831e+03 1.729798958097988892e+00
1.320130801688586437e-02 2.175581434596523650e+03 1.702174767706956082e+00
1.330130801688586030e-02 2.143581434596525014e+03 1.674494349203382804e+00
1.340130801688585623e-02 2.111581434596526378e+03 1.646676268211929361e+00
1.350130801688585215e-02 2.079581434596527743e+03 1.618633515896879649e+00
1.360130801688584808e-02 2.047581434596528652e+03 1.590339391196976537e+00
1.370130801688584400e-02 2.015581434596530016e+03 1.561791222443977833e+00
1.380130801688583993e-02 1.983581434596531153e+03 1.533010135103156424e+00
1.390130801688583585e-02 1.951581434596532517e+03 1.504044606828388364e+00
1.400130801688583178e-02 1.919581434596533882e+03 1.474943256053535823e+00
1.410130801688582770e-02 1.887581434596535246e+03 1.445797866373910390e+00
1.420130801688582363e-02 1.855581434596536610e+03 1.416658239120614393e+00
1.430130801688581955e-02 1.823581434596537974e+03 1.387546178383930240e+00
1.440130801688581548e-02 1.791581434596539111e+03 1.358452083510293118e+00
1.450130801688581141e-02 1.759581434596540475e+03 1.329337911748884160e+00
1.460130801688580733e-02 1.727581434596541385e+03 1.300183602146379735e+00
1.470130801688580326e-02 1.695581434596542977e+03 1.270966179897420112e+00
1.480130801688579918e-02 1.663581434596544341e+03 1.241685678953816652e+00
1.490130801688579511e-02 1.631581434596545705e+03 1.212331278143070401e+00
1.500130801688579103e-02 1.599581434596547069e+03 1.182881885305997249e+00
1.510130801688578696e-02 1.567581434596548206e+03 1.153323837519104167e+00
1.520130801688578288e-02 1.535581434596549570e+03 1.123660608707275355e+00
1.530130801688577881e-02 1.503581434596550935e+03 1.093921773523230501e+00
1.540130801688577473e-02 1.471581434596552299e+03 1.064142266011592008e+00
1.550130801688577066e-02 1.439581434596553208e+03 1.034349906320823687e+00
1.560130801688576659e-02 1.407581434596554800e+03 1.004561632720357700e+00
1.570130801688576425e-02 1.375581434596555482e+03 9.747768569262496019e-01
1.580130801688576017e-02 1.343581434596556846e+03 9.449599070575231963e-01
1.590130801688575610e-02 1.311581434596558211e+03 9.150588667054768699e-01
1.600130801688575202e-02 1.279581434596559575e+03 8.850185561084719099e-01
1.610130801688574795e-02 1.247581434596560712e+03 8.547930447844733770e-01
1.620130801688574387e-02 1.215581434596562076e+03 8.243613074321071155e-01
1.630130801688573980e-02 1.183581434596563440e+03 7.937182250474350553e-01
1.640130801688573572e-02 1.151581434596564804e+03 7.628789639476402096e-01
1.650130801688573165e-02 1.119581434596565941e+03 7.318757341793090676e-01
1.660130801688572758e-02 1.087581434596567306e+03 7.007562502093239720e-01
1.670130801688572350e-02 1.055581434596568670e+03 6.695608635330132508e-01
1.680130801688571943e-02 1.023581434596570034e+03 6.374362457659211723e-01
1.690130801688571535e-02 9.915814345965710572e+02 6.046431066211832572e-01
1.700130801688571128e-02 9.595814345965724215e+02 5.719924663433287870e-01
1.710130801688570720e-02 9.275814345965737857e+02 5.395752570282787985e-01
1.720130801688570313e-02 8.955814345965752636e+02 5.073329923142830822e-01
1.730130801688569905e-02 8.635814345965762868e+02 4.751266298247608932e-01
1.740130801688569498e-02 8.315814345965776511e+02 4.428659758087823417e-01
1.750130801688569090e-02 7.995814345965790153e+02 4.101176282177096954e-01
1.760130801688568683e-02 7.675814345965804932e+02 3.769483597628067173e-01
1.770130801688568276e-02 7.355814345965815164e+02 3.438672094140318714e-01
1.780130801688567868e-02 7.035814345965828807e+02 3.108805298949423590e-01
1.790130801688567461e-02 6.715814345965842449e+02 2.779648452112464252e-01
1.800130801688567053e-02 6.395814345965856091e+02 2.450920715607423916e-01
